id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi.times,roi.currency,roi.percentage
matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/matic-token-icon.png?1624446912,2.65,18219919814,14,26509837025.0,2397293954.0,2.74,2.53,0.01472277,0.5582,92305968.0,0.5092,6872890164.27,10000000000.0,10000000000.0,2.74,-3.23159,2021-12-23T19:50:10.036Z,0.00314376,84165.18079,2019-05-10T00:00:00.000Z,,2021-12-24T08:34:55.997Z,0.9439268668807029,0.5581978592826278,1007.469971118503,usd,100746.9971118503
crypto-com-chain,cro,Crypto.com Coin,https://assets.coingecko.com/coins/images/7310/large/cypto.png?1547043960,0.614875,15498976283,15,,474704153.0,0.616725,0.538928,0.074852,13.86085,1856363019.0,13.60709,25263013692.0,30263013692.0,,0.965407,-36.71419,2021-11-24T15:53:54.855Z,0.0121196,4941.13847,2019-02-08T00:00:00.000Z,,2021-12-24T08:35:47.782Z,1.1757573509662076,13.860851306252039,,,
binance-usd,busd,Binance USD,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766,1.01,14887275315,16,,4347780544.0,1.02,0.998454,0.00152586,0.15195,189936379.0,1.29232,14790137162.21,14790137162.21,,1.15,-12.8855,2020-03-13T02:35:42.953Z,0.901127,11.58014,2021-05-19T13:04:37.445Z,,2021-12-24T08:37:22.907Z,0.27225916121960375,0.15195292348303766,,,
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744,51298.0,13274653361,17,13274653361.0,296304942.0,51502.0,48402.0,2862.28,5.90938,746387916.0,5.95763,258840.12476808,258840.12476808,258840.12476808,70643.0,-27.51523,2021-11-10T14:40:19.650Z,3139.17,1531.18462,2019-04-02T00:00:00.000Z,,2021-12-24T08:35:29.796Z,0.33485621880000604,5.909380836485052,,,
litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,165.29,11424068080,18,13855583479.0,1221054034.0,167.12,155.31,9.88,6.35971,679281141.0,6.32196,69258845.7334713,84000000.0,84000000.0,410.26,-59.8092,2021-05-10T03:13:07.904Z,1.15,14252.4214,2015-01-14T00:00:00.000Z,,2021-12-24T08:34:40.613Z,0.6648911109108073,6.359708415774033,,,
chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,22.36,10440683234,19,22356466209.0,1067022610.0,22.6,20.51,1.56,7.52068,752082253.0,7.76255,467009550.4397637,1000000000.0,1000000000.0,52.7,-57.67173,2021-05-10T00:13:57.214Z,0.148183,14952.69068,2017-11-29T00:00:00.000Z,,2021-12-24T08:35:39.096Z,1.0769350539715665,7.5206785708221435,,,
terrausd,ust,TerraUSD,https://assets.coingecko.com/coins/images/12681/large/UST.png?1601612407,1.01,9683325254,20,,252185121.0,1.02,1.0,-0.00066405208,-0.066,111405832.0,1.16388,9620541037.16136,9618884848.98265,,1.09,-7.92411,2021-01-11T22:30:57.984Z,0.857992,17.1786,2021-05-19T13:14:26.898Z,,2021-12-24T08:36:57.137Z,0.2597056731824537,-0.06599972809913875,,,
algorand,algo,Algorand,https://assets.coingecko.com/coins/images/4380/large/download.png?1547039725,1.5,9478389332,21,14925177970.0,269551420.0,1.49,1.36,0.137604,10.12471,847935956.0,9.82493,6350603893.15787,6799165007.80413,10000000000.0,3.56,-58.22225,2019-06-20T14:51:19.480Z,0.105336,1312.41079,2020-03-13T02:20:48.438Z,,2021-12-24T08:35:03.529Z,2.088082656490235,10.12470920204067,-0.37637580727454,usd,-37.637580727454
dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/4943.png?1636636734,1.0,9008660965,22,9008660965.0,350917686.0,1.01,0.997335,0.0009642,0.09607,-9542793.858215332,-0.10582,8977185999.88083,8977185999.88083,8977185999.88083,1.22,-17.62767,2020-03-13T03:02:50.373Z,0.903243,11.16182,2019-11-25T00:04:18.137Z,,2021-12-24T08:34:08.486Z,0.262068749775324,0.09606907140982472,,,
bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492,460.07,8710181511,23,9659542050.0,1931494783.0,461.33,437.57,21.89,4.99502,421943981.0,5.09088,18936074.8966526,21000000.0,21000000.0,3785.82,-87.88508,2017-12-20T00:00:00.000Z,76.93,496.15306,2018-12-16T00:00:00.000Z,,2021-12-24T08:34:52.753Z,0.6643966384420767,4.995019709111825,,,
near,near,Near,https://assets.coingecko.com/coins/images/10365/large/near_icon.png?1601359077,14.51,8623394616,24,14459494857.0,1351623517.0,14.86,13.11,1.27,9.57382,929800376.0,12.08538,596382840.541472,1000000000.0,1000000000.0,14.86,-2.27934,2021-12-24T00:29:04.669Z,0.526762,2656.90076,2020-11-04T16:09:15.137Z,,2021-12-24T08:34:40.855Z,-1.0642078305357976,9.573816031593669,,,
tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,0.08287,8431720314,25,,1099544080.0,0.083328,0.078847,0.0038651,4.8922,395246781.0,4.91816,101865902346.824,101900409184.273,,0.231673,-64.29114,2018-01-05T00:00:00.000Z,0.00180434,4484.92445,2017-11-12T00:00:00.000Z,,2021-12-24T08:36:44.440Z,0.43822412669106753,4.892196176197534,42.61601458484269,usd,4261.601458484269
uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png?1600306604,17.99,8154632183,26,18000958585.0,360553491.0,18.23,16.53,1.28,7.64166,608772871.0,8.06764,453010996.32658404,1000000000.0,1000000000.0,44.92,-60.09702,2021-05-03T05:25:04.822Z,1.03,1639.87103,2020-09-17T01:20:38.214Z,,2021-12-24T08:36:43.590Z,1.2497565293642094,7.641657915904789,,,
okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/okb_token.png?1548386209,30.99,8134353367,27,,472692705.0,31.91,30.73,-0.500682829139,-1.59009,-136812724.81993866,-1.65409,262680011.32,300000000.0,,44.01,-29.74144,2021-05-03T01:03:16.108Z,0.580608,5225.01971,2019-01-14T00:00:00.000Z,,2021-12-24T08:35:26.469Z,0.6556654154924693,-1.590094670600508,,,
